i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
91,1,2026-01-05T03:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.462708108968467,-26.462708108968467,10558.620535478418
92,1,2026-01-05T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.396551338696046,-26.396551338696046,10532.223984139722
93,1,2026-01-05T14:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.330559960349305,52.66111992069861,10584.88510406042
94,1,2026-01-05T15:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.46221276015105,-26.46221276015105,10558.42289130027
95,1,2026-01-05T15:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.396057228250676,52.79211445650135,10611.21500575677
96,1,2026-01-05T16:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.528037514391926,-26.528037514391926,10584.686968242378
97,1,2026-01-05T16:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.461717420605947,-26.461717420605947,10558.225250821773
98,1,2026-01-05T16:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.395563127054434,52.79112625410887,10611.016377075883
99,1,2026-01-05T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.527540942689708,-26.527540942689708,10584.488836133192
100,1,2026-01-05T17:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.46122209033298,-26.46122209033298,10558.02761404286
101,1,2026-01-05T17:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.39506903510715,52.7901380702143,10610.817752113075
102,1,2026-01-05T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.52704438028269,53.05408876056538,10663.87184087364
103,1,2026-01-05T18:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.659679602184102,53.319359204368205,10717.191200078008
104,1,2026-01-05T18:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.79297800019502,-26.79297800019502,10690.398222077814
105,1,2026-01-05T18:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.725995555194537,53.45199111038907,10743.850213188203
106,1,2026-01-05T18:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.859625532970508,53.719251065941016,10797.569464254144
107,1,2026-01-05T19:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.99392366063536,-26.99392366063536,10770.575540593509
