i,timestamp,symbol,side,model,R,risk_usd,pnl,equity
91,2026-01-05T03:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,127.07848024694002,-127.07848024694002,12580.769544447061
92,2026-01-05T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,125.80769544447061,-125.80769544447061,12454.96184900259
93,2026-01-05T14:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,124.54961849002589,249.09923698005178,12704.061085982641
94,2026-01-05T15:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,127.04061085982642,-127.04061085982642,12577.020475122814
95,2026-01-05T15:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,125.77020475122814,251.54040950245627,12828.56088462527
96,2026-01-05T16:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,128.2856088462527,-128.2856088462527,12700.275275779019
97,2026-01-05T16:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,127.00275275779019,-127.00275275779019,12573.272523021229
98,2026-01-05T16:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,125.7327252302123,251.4654504604246,12824.737973481653
99,2026-01-05T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,128.24737973481655,-128.24737973481655,12696.490593746837
100,2026-01-05T17:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,126.96490593746837,-126.96490593746837,12569.52568780937
101,2026-01-05T17:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,125.6952568780937,251.3905137561874,12820.916201565557
102,2026-01-05T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,128.20916201565558,256.41832403131116,13077.334525596867
103,2026-01-05T18:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,130.77334525596868,261.54669051193736,13338.881216108804
104,2026-01-05T18:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,133.38881216108805,-133.38881216108805,13205.492403947716
105,2026-01-05T18:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,132.05492403947716,264.1098480789543,13469.60225202667
106,2026-01-05T18:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,134.6960225202667,269.3920450405334,13738.994297067204
107,2026-01-05T19:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,137.38994297067205,-137.38994297067205,13601.604354096531
108,2026-01-05T19:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,136.0160435409653,-136.0160435409653,13465.588310555566
109,2026-01-05T19:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,134.65588310555566,-134.65588310555566,13330.93242745001
110,2026-01-05T19:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,133.3093242745001,-133.3093242745001,13197.62310317551
111,2026-01-05T20:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,131.9762310317551,263.9524620635102,13461.575565239022
112,2026-01-05T20:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,134.61575565239022,269.23151130478044,13730.807076543802
113,2026-01-05T20:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,137.30807076543803,274.61614153087606,14005.423218074679
114,2026-01-05T20:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,140.0542321807468,-140.0542321807468,13865.368985893932
115,2026-01-05T20:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,138.65368985893932,-138.65368985893932,13726.715296034992
116,2026-01-05T20:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,137.26715296034993,274.53430592069986,14001.249601955693
117,2026-01-05T21:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,140.01249601955692,-140.01249601955692,13861.237105936136
118,2026-01-05T21:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,138.61237105936135,-138.61237105936135,13722.624734876774
119,2026-01-05T21:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,137.22624734876774,-137.22624734876774,13585.398487528006
