i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
156,1,2026-01-13T11:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,189.88850154232622,-189.88850154232622,18798.961652690297
157,1,2026-01-13T14:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,187.98961652690298,-187.98961652690298,18610.972036163395
158,1,2026-01-13T15:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,186.10972036163395,-186.10972036163395,18424.86231580176
159,1,2026-01-13T15:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,184.2486231580176,368.4972463160352,18793.359562117796
160,1,2026-01-13T16:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,187.93359562117797,-187.93359562117797,18605.42596649662
161,1,2026-01-13T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,186.0542596649662,-186.0542596649662,18419.371706831655
162,1,2026-01-13T17:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,184.19371706831654,-184.19371706831654,18235.17798976334
163,1,2026-01-13T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,182.35177989763338,-182.35177989763338,18052.826209865707
164,1,2026-01-13T18:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,180.52826209865708,-180.52826209865708,17872.29794776705
165,1,2026-01-13T18:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,178.7229794776705,-178.7229794776705,17693.574968289377
166,1,2026-01-13T19:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,176.93574968289377,353.87149936578754,18047.446467655165
167,1,2026-01-13T19:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,180.47446467655166,360.9489293531033,18408.39539700827
168,1,2026-01-13T20:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,184.0839539700827,-184.0839539700827,18224.311443038187
169,1,2026-01-13T20:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,182.24311443038187,-182.24311443038187,18042.068328607806
170,1,2026-01-13T21:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,180.42068328607806,-180.42068328607806,17861.64764532173
171,1,2026-01-13T21:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,178.6164764532173,-178.6164764532173,17683.03116886851
172,1,2026-01-13T22:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,176.8303116886851,-176.8303116886851,17506.200857179825
173,1,2026-01-13T22:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,175.06200857179826,-175.06200857179826,17331.13884860803
174,1,2026-01-13T23:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,173.3113884860803,-173.3113884860803,17157.82746012195
175,1,2026-01-13T23:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,171.5782746012195,-171.5782746012195,16986.24918552073
176,1,2026-01-13T23:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,169.8624918552073,-169.8624918552073,16816.38669366552
177,1,2026-01-13T23:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,168.1638669366552,-168.1638669366552,16648.222826728866
178,1,2026-01-14T00:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,166.48222826728866,-166.48222826728866,16481.740598461576
179,1,2026-01-14T00:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,164.81740598461576,-164.81740598461576,16316.923192476961
180,1,2026-01-14T00:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,163.1692319247696,-163.1692319247696,16153.75396055219
181,1,2026-01-14T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,161.5375396055219,-161.5375396055219,15992.216420946668
182,1,2026-01-14T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,159.92216420946667,-159.92216420946667,15832.294256737201
183,1,2026-01-14T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,158.32294256737202,-158.32294256737202,15673.971314169828
184,1,2026-01-14T15:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,156.73971314169827,-156.73971314169827,15517.23160102813
185,1,2026-01-14T15:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,155.1723160102813,-155.1723160102813,15362.05928501785
186,1,2026-01-14T16:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,153.6205928501785,-153.6205928501785,15208.43869216767
187,1,2026-01-14T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,152.0843869216767,-152.0843869216767,15056.354305245994
