wf_fold,RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
2,3.0,0.15,6,True,20,1.2,24,200,1.0,1.0,0.7,737,13.480392,-0.047083,-1.278191
2,3.0,0.15,6,True,20,1.5,24,200,1.0,1.0,0.7,719,13.533835,-0.048122,-1.290362
2,3.0,0.15,6,True,30,1.0,24,200,1.0,1.0,0.7,754,13.429257,-0.047082,-1.292834
2,3.0,0.15,6,True,20,1.0,24,200,1.0,1.0,0.7,743,13.349515,-0.050202,-1.368404
2,3.0,0.15,6,True,30,1.2,24,200,1.0,1.0,0.7,750,13.253012,-0.05,-1.369306
2,3.0,0.15,6,True,30,1.5,24,200,1.0,1.0,0.7,737,12.990196,-0.054138,-1.469735
3,2.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1096,26.666667,0.074088,2.452736
3,2.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,1010,26.770294,0.07703,2.448042
3,2.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1143,26.707132,0.072178,2.44023
3,2.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,1294,26.963351,0.060819,2.1878
3,3.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1143,17.996604,0.063255,2.138529
3,2.0,0.25,8,True,30,1.2,24,200,1.0,1.0,0.7,1285,26.781003,0.058911,2.111759
3,3.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1096,17.647059,0.063412,2.099324
3,2.0,0.25,8,True,30,1.5,24,200,1.0,1.0,0.7,1261,26.845638,0.058763,2.086703
3,2.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1143,23.444976,0.061417,2.076414
3,3.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,1010,17.509728,0.065149,2.070452
3,2.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,599,21.824104,0.083639,2.047031
3,2.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,1261,24.293785,0.057573,2.044462
3,2.0,0.25,8,True,20,1.0,24,200,1.0,1.0,0.7,1272,26.568758,0.057154,2.038407
3,2.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,1096,23.205342,0.061314,2.02985
3,3.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,1294,19.013062,0.056414,2.029344
3,2.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,1010,23.23049,0.062673,1.991788
3,2.0,0.15,8,True,30,1.0,24,200,1.0,1.0,0.7,1294,24.279835,0.055255,1.987645
3,2.0,0.15,8,True,20,1.0,24,200,1.0,1.0,0.7,1272,24.195804,0.055582,1.98233
3,3.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,599,14.893617,0.079633,1.948969
3,2.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,1253,26.158038,0.054908,1.943627
3,2.0,0.15,8,True,30,1.2,24,200,1.0,1.0,0.7,1285,24.171271,0.053774,1.927642
3,3.0,0.25,8,True,30,1.2,24,200,1.0,1.0,0.7,1285,18.740849,0.053774,1.927642
3,3.0,0.25,8,True,30,1.5,24,200,1.0,1.0,0.7,1261,18.89881,0.054243,1.926187
3,3.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,1261,16.899225,0.053529,1.900843
3,3.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1143,15.789474,0.055118,1.863449
3,3.0,0.15,8,True,30,1.0,24,200,1.0,1.0,0.7,1294,16.992481,0.051777,1.862549
3,3.0,0.25,8,True,20,1.0,24,200,1.0,1.0,0.7,1272,18.518519,0.05173,1.84494
