i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
76,1,2026-01-05T00:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.113244925853962,50.226489851707925,10095.524460193292
77,1,2026-01-05T01:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.23881115048323,-25.23881115048323,10070.28564904281
78,1,2026-01-05T01:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.175714122607022,50.351428245214045,10120.637077288024
79,1,2026-01-05T01:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.30159269322006,50.60318538644012,10171.240262674464
80,1,2026-01-05T01:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,25.428100656686162,50.856201313372324,10222.096463987837
81,1,2026-01-05T01:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,25.555241159969594,51.11048231993919,10273.206946307775
82,1,2026-01-05T01:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.683017365769437,-25.683017365769437,10247.523928942006
83,1,2026-01-05T01:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.618809822355015,51.23761964471003,10298.761548586715
84,1,2026-01-05T02:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.746903871466788,-25.746903871466788,10273.01464471525
85,1,2026-01-05T02:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.682536611788123,-25.682536611788123,10247.332108103461
86,1,2026-01-05T02:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.618330270258653,51.236660540517306,10298.568768643978
87,1,2026-01-05T02:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.746421921609944,-25.746421921609944,10272.822346722367
88,1,2026-01-05T02:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,25.682055866805918,51.364111733611836,10324.186458455979
89,1,2026-01-05T03:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.810466146139948,-25.810466146139948,10298.375992309839
90,1,2026-01-05T03:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,25.745939980774597,51.491879961549195,10349.867872271388
91,1,2026-01-05T03:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.874669680678473,-25.874669680678473,10323.99320259071
92,1,2026-01-05T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.809983006476774,-25.809983006476774,10298.183219584233
93,1,2026-01-05T03:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.745458048960582,-25.745458048960582,10272.437761535271
94,1,2026-01-05T03:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,2.0,25.68109440383818,51.36218880767636,10323.799950342947
