DEV_MIN_TDP,EXTREME_Q,TDP_RANGE_ATR_MAX,trades_total,winrate,tdp_trades,tdp_wr,tdp_top_trades,tdp_top_wr,tdp_bot_trades,tdp_bot_wr
2,0.1,14.0,527,0.051233396584440226,527,0.051233396584440226,250,0.068,277,0.036101083032490974
4,0.1,10.0,177,0.05084745762711865,177,0.05084745762711865,80,0.075,97,0.030927835051546393
4,0.15,6.0,21,0.047619047619047616,21,0.047619047619047616,5,0.0,16,0.0625
2,0.15,10.0,469,0.046908315565031986,469,0.046908315565031986,202,0.0594059405940594,267,0.03745318352059925
3,0.1,10.0,245,0.044897959183673466,245,0.044897959183673466,106,0.0660377358490566,139,0.02877697841726619
3,0.2,6.0,46,0.043478260869565216,46,0.043478260869565216,9,0.1111111111111111,37,0.02702702702702703
3,0.1,6.0,23,0.043478260869565216,23,0.043478260869565216,3,0.0,20,0.05
3,0.25,6.0,50,0.04,50,0.04,10,0.1,40,0.025
2,0.1,10.0,304,0.039473684210526314,304,0.039473684210526314,132,0.06060606060606061,172,0.023255813953488372
2,0.1,6.0,34,0.029411764705882353,34,0.029411764705882353,8,0.0,26,0.038461538461538464
3,0.15,6.0,37,0.02702702702702703,37,0.02702702702702703,7,0.0,30,0.03333333333333333
2,0.2,6.0,78,0.02564102564102564,78,0.02564102564102564,20,0.05,58,0.017241379310344827
2,0.25,6.0,86,0.023255813953488372,86,0.023255813953488372,22,0.045454545454545456,64,0.015625
2,0.15,6.0,60,0.016666666666666666,60,0.016666666666666666,16,0.0,44,0.022727272727272728
5,0.2,6.0,8,0.0,8,0.0,2,0.0,6,0.0
5,0.25,6.0,8,0.0,8,0.0,2,0.0,6,0.0
5,0.15,6.0,7,0.0,7,0.0,2,0.0,5,0.0
6,0.15,6.0,6,0.0,6,0.0,2,0.0,4,0.0
6,0.2,6.0,6,0.0,6,0.0,2,0.0,4,0.0
6,0.25,6.0,6,0.0,6,0.0,2,0.0,4,0.0
5,0.1,6.0,5,0.0,5,0.0,2,0.0,3,0.0
6,0.1,6.0,5,0.0,5,0.0,2,0.0,3,0.0
