RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN,TDP_TOP_trades_total,TDP_TOP_winrate(W/L)%,TDP_TOP_expectancy_R,TDP_TOP_expectancy_R_sqrtN,TDP_BOT_trades_total,TDP_BOT_winrate(W/L)%,TDP_BOT_expectancy_R,TDP_BOT_expectancy_R_sqrtN,LONG_trades_total,LONG_winrate(W/L)%,LONG_expectancy_R,LONG_expectancy_R_sqrtN,SHORT_trades_total,SHORT_winrate(W/L)%,SHORT_expectancy_R,SHORT_expectancy_R_sqrtN
2.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,821,31.63841807909605,0.06942752740560293,1.9893137163653618,417,31.538461538461537,0.09232613908872901,1.8853531114664084,404,31.73431734317343,0.045792079207920784,0.9204094009442397,404,31.73431734317343,0.045792079207920784,0.9204094009442397,417,31.538461538461537,0.09232613908872901,1.8853531114664084
2.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,990,30.0462249614792,0.03717171717171718,1.1695807761412602,502,30.476190476190478,0.07310756972111557,1.6380011626262487,488,29.64071856287425,0.00020491803278689544,0.004526787302126152,488,29.64071856287425,0.00020491803278689544,0.004526787302126152,502,30.476190476190478,0.07310756972111557,1.6380011626262487
2.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,980,30.15625,0.0413265306122449,1.2937250441248784,499,30.35143769968051,0.07154308617234473,1.5981514872979683,481,29.96941896024465,0.009979209979209988,0.21886116124202573,481,29.96941896024465,0.009979209979209988,0.21886116124202573,499,30.35143769968051,0.07154308617234473,1.5981514872979683
2.0,0.25,4,True,20,1.5,24,200,1.0,1.0,0.7,960,29.88871224165342,0.03510416666666667,1.0876628230599164,494,30.42071197411003,0.07429149797570853,1.6512110633436612,466,29.375,-0.006437768240343355,-0.138972316383624,466,29.375,-0.006437768240343355,-0.138972316383624,494,30.42071197411003,0.07429149797570853,1.6512110633436612
2.0,0.25,4,True,30,1.0,24,200,1.0,1.0,0.7,1005,30.362537764350456,0.03880597014925373,1.2302165808591978,514,31.384615384615383,0.08151750972762647,1.8481297729292578,491,29.376854599406528,-0.005906313645621171,-0.1308751678978918,491,29.376854599406528,-0.005906313645621171,-0.1308751678978918,514,31.384615384615383,0.08151750972762647,1.8481297729292578
2.0,0.25,4,True,30,1.2,24,200,1.0,1.0,0.7,998,30.182926829268293,0.03747494989979961,1.1838763137475576,510,31.366459627329192,0.08215686274509804,1.8553631852064996,488,29.041916167664674,-0.009221311475409836,-0.2037054285956667,488,29.041916167664674,-0.009221311475409836,-0.2037054285956667,510,31.366459627329192,0.08215686274509804,1.8553631852064996
2.0,0.25,4,True,30,1.5,24,200,1.0,1.0,0.7,984,30.29366306027821,0.03892276422764228,1.220959405516293,504,31.446540880503143,0.08373015873015874,1.8797374014507184,480,29.17933130699088,-0.008125000000000004,-0.17800983118917907,480,29.17933130699088,-0.008125000000000004,-0.17800983118917907,504,31.446540880503143,0.08373015873015874,1.8797374014507184
2.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1552,34.079844206426486,0.09239690721649484,3.6400160020040238,805,36.5234375,0.1530434782608696,4.342229441397487,747,31.650485436893206,0.02704149933065595,0.7390793505972482,747,31.650485436893206,0.02704149933065595,0.7390793505972482,805,36.5234375,0.1530434782608696,4.342229441397487
2.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1473,34.151329243353786,0.09185336048879837,3.5253027776539163,775,36.820925553319924,0.1529032258064516,4.256645658034564,698,31.392931392931395,0.02406876790830946,0.6358893778477503,698,31.392931392931395,0.02406876790830946,0.6358893778477503,775,36.820925553319924,0.1529032258064516,4.256645658034564
2.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,1351,34.22222222222222,0.09082161361954107,3.338234861587436,711,36.52173913043478,0.14360056258790438,3.8290491561515685,640,31.818181818181817,0.032187500000000015,0.8142864974933581,640,31.818181818181817,0.032187500000000015,0.8142864974933581,711,36.52173913043478,0.14360056258790438,3.8290491561515685
2.0,0.25,8,True,20,1.0,24,200,1.0,1.0,0.7,1765,33.417508417508415,0.07189801699716714,3.0205725213840684,912,35.08474576271187,0.12225877192982457,3.69213394531881,853,31.77257525083612,0.01805392731535756,0.5272859571963836,853,31.77257525083612,0.01805392731535756,0.5272859571963836,912,35.08474576271187,0.12225877192982457,3.69213394531881
2.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,1741,33.16195372750643,0.07053417576105687,2.9430590859610324,900,34.6551724137931,0.11811111111111113,3.543333333333334,841,31.686541737649065,0.019619500594530333,0.5689655172413797,841,31.686541737649065,0.019619500594530333,0.5689655172413797,900,34.6551724137931,0.11811111111111113,3.543333333333334
2.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,1707,32.95553618134263,0.06578793204452256,2.7180847611139507,887,34.73684210526316,0.1209695603156708,3.6027814007890457,820,31.195840554592717,0.006097560975609756,0.17460757394239457,820,31.195840554592717,0.006097560975609756,0.17460757394239457,887,34.73684210526316,0.1209695603156708,3.6027814007890457
2.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,1791,33.77374071015689,0.07459519821328867,3.1568842996371225,931,35.47854785478548,0.12459720730397422,3.8017464469978806,860,32.06611570247934,0.02046511627906977,0.6001550187340167,860,32.06611570247934,0.02046511627906977,0.6001550187340167,931,35.47854785478548,0.12459720730397422,3.8017464469978806
2.0,0.25,8,True,30,1.2,24,200,1.0,1.0,0.7,1780,33.61064891846922,0.07286516853932584,3.0741848284627524,925,35.44093178036606,0.1250810810810811,3.8041925662459684,855,31.78036605657238,0.01637426900584796,0.4787898976397388,855,31.78036605657238,0.01637426900584796,0.4787898976397388,925,35.44093178036606,0.1250810810810811,3.8041925662459684
2.0,0.25,8,True,30,1.5,24,200,1.0,1.0,0.7,1748,33.67260390161154,0.07454233409610984,3.116547149125634,910,35.59322033898305,0.1285714285714286,3.8785122331710062,838,31.748726655348047,0.015871121718377103,0.4594408763425558,838,31.748726655348047,0.015871121718377103,0.4594408763425558,910,35.59322033898305,0.1285714285714286,3.8785122331710062
3.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,904,21.9959266802444,0.08573008849557526,2.5776116577962407,453,21.666666666666668,0.0977924944812362,2.0813955668057824,451,22.31075697211155,0.07361419068736144,1.5633269430353975,451,22.31075697211155,0.07361419068736144,1.5633269430353975,453,21.666666666666668,0.0977924944812362,2.0813955668057824
3.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,874,21.894736842105264,0.08386727688787186,2.479409485317221,443,21.940928270042196,0.09571106094808128,2.014484793737259,431,21.84873949579832,0.07169373549883992,1.4884006271545824,431,21.84873949579832,0.07169373549883992,1.4884006271545824,443,21.940928270042196,0.09571106094808128,2.014484793737259
